# 	  	Pokémon 	Gender 	Group 	Area Found 	Unlock Method 	Level 	Number of steps 	Rarity 	Item Held
0016 	Spr 4pw 016.png 	Pidgey 	♂ 	C 	Refreshing Field 	Default 	5 	0+ steps 	Very Common 	None
0019 	Spr 4pw 019 f.png 	Rattata 	♀ 	C 	Suburban Area 	500 watts 	7 	0+ steps 	Very Common 	None
0019 	Spr 4pw 019 f.png 	Rattata 	♀ 	C 	Town Outskirts 	3,000 watts 	16 	0+ steps 	Very Common 	None
0021 	Spr 4pw 021.png 	Spearow 	♂ 	C 	Noisy Forest 	Default 	5 	0+ steps 	Very Common 	None
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	A 	Resort 	80,000 watts 	30 	8000+ steps 	Common 	None
0025 	Spr 4pw 025 m.png 	Pikachu 	♂ 	A 	Yellow Forest 	Event 	15 	10000+ steps 	Very Rare 	Bag Shuca Berry Sprite.png
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	A 	Yellow Forest 	Event 	14 	9500+ steps 	Very Rare 	Bag Lum Berry Sprite.png
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	B 	Yellow Forest 	Event 	12 	5000+ steps 	Very Rare 	Bag Sitrus Berry Sprite.png
0025 	Spr 4pw 025 m.png 	Pikachu 	♂ 	B 	Yellow Forest 	Event 	13 	2000+ steps 	Rare 	Bag Leppa Berry Sprite.png
0025 	Spr 4pw 025 m.png 	Pikachu 	♂ 	C 	Yellow Forest 	Event 	10 	0+ steps 	Very Common 	Bag TinyMushroom Sprite.png
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	C 	Yellow Forest 	Event 	10 	0+ steps 	Very Common 	Bag Oran Berry Sprite.png
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	B 	Rally 	Event 	10 	500+ steps 	Common 	None
0025 	Spr 4pw 025 f.png 	Pikachu 	♀ 	C 	Sightseeing 	Event 	8 	0+ steps 	Very Common 	None
0029 	Spr 4pw 029.png 	Nidoran♀ 	♀ 	B 	Refreshing Field 	Default 	5 	500+ steps 	Very Common 	None
0032 	Spr 4pw 032.png 	Nidoran♂ 	♂ 	B 	Refreshing Field 	Default 	5 	500+ steps 	Very Common 	None
0035 	Spr 4pw 035.png 	Clefairy 	♀ 	B 	Resort 	80,000 watts 	31 	4000+ steps 	Very Common 	None
0035 	Spr 4pw 035.png 	Clefairy 	♂ 	A 	Night Sky's Edge 	Jirachi transfer to HGSS 	8 	5000+ steps 	Common 	None
0039 	Spr 4pw 039.png 	Jigglypuff 	♀ 	B 	Resort 	80,000 watts 	30 	4000+ steps 	Very Common 	None
0039 	Spr 4pw 039.png 	Jigglypuff 	♂ 	A 	Night Sky's Edge 	Jirachi transfer to HGSS 	10 	5000+ steps 	Common 	None
0041 	Spr 4pw 041 m.png 	Zubat 	♂ 	C 	Dim Cave 	1,000 watts 	8 	0+ steps 	Very Common 	None
0041 	Spr 4pw 041 m.png 	Zubat 	♂ 	B 	Night Sky's Edge 	Jirachi transfer to HGSS 	9 	2500+ steps 	Very Common 	None
0042 	Spr 4pw 042 m.png 	Golbat 	♂ 	B 	Scary Cave 	20,000 watts 	33 	500+ steps 	Very Common 	None
0042 	Spr 4pw 042 m.png 	Golbat 	♂ 	C 	Quiet Cave 	100,000 watts 	33 	0+ steps 	Very Common 	None
0043 	Spr 4pw 043.png 	Oddish 	♀ 	C 	Noisy Forest 	Default 	5 	0+ steps 	Very Common 	None
0044 	Spr 4pw 044 f.png 	Gloom 	♀ 	C 	Treehouse 	15,000 watts 	14 	0+ steps 	Very Common 	None
0046 	Spr 4pw 046.png 	Paras 	♀ 	B 	Noisy Forest 	Default 	6 	700+ steps 	Very Common 	None
0048 	Spr 4pw 048.png 	Venonat 	♂ 	B 	Noisy Forest 	Default 	6 	700+ steps 	Very Common 	None
0052 	Spr 4pw 052.png 	Meowth 	♂ 	C 	Sightseeing 	Event 	10 	0+ steps 	Very Common 	None
0054 	Spr 4pw 054.png 	Psyduck 	♀ 	A 	Beautiful Beach 	200 watts 	10 	4000+ steps 	Very Common 	None
0054 	Spr 4pw 054.png 	Psyduck 	♀ 	C 	Stormy Beach 	65,000 watts 	22 	0+ steps 	Very Common 	None
0060 	Spr 4pw 060.png 	Poliwag 	♂ 	B 	Beautiful Beach 	200 watts 	8 	1500+ steps 	Very Common 	None
0060 	Spr 4pw 060.png 	Poliwag 	♀ 	A 	Blue Lake 	2,000 watts 	15 	4000+ steps 	Very Common 	None
0061 	Spr 4pw 061.png 	Poliwhirl 	♀ 	B 	Sightseeing 	Event 	15 	2000+ steps 	Rare 	None
0063 	Spr 4pw 063.png 	Abra 	♀ 	A 	Town Outskirts 	3,000 watts 	15 	5000+ steps 	Common 	None
0066 	Spr 4pw 066.png 	Machop 	♀ 	B 	Rugged Road 	50 watts 	7 	1000+ steps 	Very Common 	None
0066 	Spr 4pw 066.png 	Machop 	♂ 	C 	Dim Cave 	1,000 watts 	8 	0+ steps 	Very Common 	None
0066 	Spr 4pw 066.png 	Machop 	♂ 	C 	Scary Cave 	20,000 watts 	13 	0+ steps 	Very Common 	None
0069 	Spr 4pw 069.png 	Bellsprout 	♀ 	A 	Noisy Forest 	Default 	8 	3000+ steps 	Very Common 	None
0070 	Spr 4pw 070.png 	Weepinbell 	♂ 	C 	Treehouse 	15,000 watts 	13 	0+ steps 	Very Common 	None
0072 	Spr 4pw 072.png 	Tentacool 	♀ 	C 	Blue Lake 	2,000 watts 	9 	0+ steps 	Very Common 	None
0074 	Spr 4pw 074.png 	Geodude 	♀ 	C 	Rugged Road 	50 watts 	8 	0+ steps 	Very Common 	None
0074 	Spr 4pw 074.png 	Geodude 	♂ 	C 	Volcano Path 	10,000 watts 	29 	0+ steps 	Very Common 	None
0074 	Spr 4pw 074.png 	Geodude 	♂ 	C 	Night Sky's Edge 	Jirachi transfer to HGSS 	5 	0+ steps 	Very Common 	None
0077 	Spr 4pw 077.png 	Ponyta 	♀ 	B 	Rugged Road 	50 watts 	7 	1000+ steps 	Very Common 	None
0077 	Spr 4pw 077.png 	Ponyta 	♀ 	C 	Volcano Path 	10,000 watts 	19 	0+ steps 	Very Common 	None
0079 	Spr 4pw 079.png 	Slowpoke 	♂ 	B 	Beautiful Beach 	200 watts 	8 	1000+ steps 	Very Common 	None
0081 	Spr 4pw 081.png 	Magnemite 		A 	Suburban Area 	500 watts 	11 	4000+ steps 	Common 	None
0081 	Spr 4pw 081.png 	Magnemite 		B 	Suburban Area 	500 watts 	8 	1000+ steps 	Very Common 	None
0084 	Spr 4pw 084 f.png 	Doduo 	♀ 	A 	Refreshing Field 	Default 	8 	2000+ steps 	Very Common 	None
0086 	Spr 4pw 086.png 	Seel 	♀ 	B 	Stormy Beach 	65,000 watts 	27 	1500+ steps 	Very Common 	None
0088 	Spr 4pw 088.png 	Grimer 	♂ 	B 	Town Outskirts 	3,000 watts 	13 	1500+ steps 	Very Common 	None
0090 	Spr 4pw 090.png 	Shellder 	♀ 	B 	Blue Lake 	2,000 watts 	12 	500+ steps 	Very Common 	None
0090 	Spr 4pw 090.png 	Shellder 	♂ 	C 	Stormy Beach 	65,000 watts 	20 	0+ steps 	Very Common 	None
0092 	Spr 4pw 092.png 	Gastly 	♀ 	A 	Dim Cave 	1,000 watts 	15 	5000+ steps 	Rare 	None
0092 	Spr 4pw 092.png 	Gastly 	♀ 	B 	Dim Cave 	1,000 watts 	10 	1000+ steps 	Very Common 	None
0092 	Spr 4pw 092.png 	Gastly 	♀ 	C 	Scary Cave 	20,000 watts 	15 	0+ steps 	Very Common 	None
0093 	Spr 4pw 093.png 	Haunter 	♂ 	B 	White Lake 	50,000 watts 	25 	500+ steps 	Very Common 	None
0095 	Spr 4pw 095.png 	Onix 	♂ 	A 	Rugged Road 	50 watts 	9 	4000+ steps 	Very Common 	None
0095 	Spr 4pw 095.png 	Onix 	♂ 	B 	Dim Cave 	1,000 watts 	10 	1000+ steps 	Very Common 	None
0095 	Spr 4pw 095.png 	Onix 	♀ 	C 	Night Sky's Edge 	Jirachi transfer to HGSS 	5 	0+ steps 	Very Common 	None
0098 	Spr 4pw 098.png 	Krabby 	♂ 	B 	Blue Lake 	2,000 watts 	12 	500+ steps 	Very Common 	None
0100 	Spr 4pw 100.png 	Voltorb 		A 	Town Outskirts 	3,000 watts 	15 	3000+ steps 	Very Common 	None
0102 	Spr 4pw 102.png 	Exeggcute 	♀ 	C 	Big Forest 	40,000 watts 	17 	0+ steps 	Very Common 	None
0105 	Spr 4pw 105.png 	Marowak 	♀ 	A 	Scary Cave 	20,000 watts 	30 	5000+ steps 	Common 	None
0109 	Spr 4pw 109.png 	Koffing 	♀ 	B 	Town Outskirts 	3,000 watts 	13 	1500+ steps 	Very Common 	None
0111 	Spr 4pw 111 m.png 	Rhyhorn 	♂ 	B 	Volcano Path 	10,000 watts 	25 	2000+ steps 	Very Common 	None
0114 	Spr 4pw 114.png 	Tangela 	♀ 	B 	Big Forest 	40,000 watts 	30 	1000+ steps 	Very Common 	None
