Name 	Type 	Cat. 	PP 	Att. 	Acc. 	Effect
Aerial Ace 			20 	60 	-- 	The user confounds the foe with speed, then slashes. The attack lands without fail.
Aqua Jet 			20 	40 	100 	The user lunges at the foe at a speed that makes it almost invisible. It is sure to strike first.
Aqua Tail 			10 	90 	90 	The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Arm Thrust 			20 	15 	100 	The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
Assurance 			10 	50 	100 	If the foe has already taken some damage in the same turn, this attack's power is doubled.
Astonish 			15 	30 	100 	The user attacks the foe while shouting in a startling fashion. It may also make the target flinch.
Attack Order 			15 	90 	100 	The user calls out its underlings to pummel the foe. It has a high critical-hit ratio.
Avalanche 			10 	60 	100 	An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.
Barrage 			20 	15 	85 	Round objects are hurled at the foe to strike two to five times in a row.
Beat Up 			10 	10 	100 	The user gets all the party Pokémon to attack the foe. The more party Pokémon, the more damage.
Bide 			10 	-- 	-- 	The user endures attacks for two turns, then strikes back to cause double the damage taken.
Bind 			20 	15 	75 	A long body or tentacles are used to bind and squeeze the foe for two to five turns.
Bite 			25 	60 	100 	The foe is bitten with viciously sharp fangs. It may make the target flinch.
Blaze Kick 			10 	85 	90 	The user launches a kick with a high critical-hit ratio. It may also leave the target with a burn.
Body Slam 			15 	85 	100 	The user drops onto the foe with its full body weight. It may leave the foe paralyzed.
Bone Club 			20 	65 	85 	The user clubs the foe with a bone. It may also make the target flinch.
Bone Rush 			10 	25 	80 	The user strikes at the foe with a hard bone two to five times in a row.
Bonemerang 			10 	50 	90 	The user throws the bone it holds. The bone loops to hit the foe twice, coming and going.
Bounce 			5 	85 	85 	The user bounces up high, then drops on the foe on the second turn. It may also paralyze the foe.
Brave Bird 			15 	120 	100 	The user tucks in its wings and charges from a low altitude. The user also takes serious damage.
Brick Break 			15 	75 	100 	The user attacks with tough fists, etc. It can also break any barrier such as Light Screen and Reflect.
Bug Bite 			20 	60 	100 	The user bites the foe. If the foe is holding a Berry, the user eats it and gains its effect.
Bullet Punch 			30 	40 	100 	The user strikes with a tough punch as fast as a bullet. This move always goes first.
Bullet Seed 			30 	10 	100 	The user forcefully shoots seeds at the foe. Two to five seeds are shot in rapid succession.
Clamp 			10 	35 	75 	The foe is clamped and squeezed by the user's very thick and sturdy shell for two to five turns.
Close Combat 			5 	120 	100 	The user fights the foe up close without guarding itself. It also cuts the user's Defense and Sp. Def.
Comet Punch 			15 	18 	85 	The foe is hit with a flurry of punches that strike two to five times in a row.
Constrict 			35 	10 	100 	The foe is attacked with long, creeping tentacles or vines. It may also lower the target's Speed.
Counter 			20 	-- 	100 	A retaliation move that counters any physical attack, inflicting double the damage taken.
Covet 			40 	40 	100 	The user endearingly approaches the foe, then steals the item the foe is holding.
Crabhammer 			10 	90 	85 	The foe is hammered with a large pincer. This move has a high critical-hit ratio.
